survey_id,text_value.What do you like least about our school?
116,"Environmentally, we only have 1 adult restroom and only a couple outlets/power plugs in the classrooms.

Sometimes we seem forgotten about by the district.  "
117,Management 
118,
119,The District wide beginning of the year pep rally is a complete waste of time.  EVERY SINGLE ONE OF THE HIGH SCHOOL TEACHERS IN THE DISTRICT HATES attending this.  PLEASE...just have a few speakers and announce the teacher of the year.  
120,Communication could be better
121,I would like to see more access to technology for our students.
122,
123,not enough  parking space and no gym in case it rains for other activities.
124,"Discipline for students. 

"
125,
126,n/a
127,
128,
129,
130,Lack of funding for every teacher to have a RTI kit
131,
132,
133,
134,
135, I don't like riding the school bus everyday.
136,I don't like the bureaucracy.
137,
138,"Thee is not enough communication between the school board, school leaders, teachers and maintainance staff"
139,Some of our facility needs to be updated and have larger spaces for preschool learners to work and play in.
140,
141,
142,N/A
143,The least I like about this school is not having enough subs for coverage if someone is sick or family emergency.
144,
145,Southside is still kind of new to LCSD and we're left out of some things-such as the schools listed for this survey. I love Southside.
146,School has bad reputation due to neighborhood.
147,"I like the dress code but , children need one when it come to  wearing flip flops."
148,
149,The administrative support with disruptive or violent students.
150,
151,N/A
152,
153,
154,
155,
156,lack of communication between staff
157,So far nothing
158,Not enough men's teacher 
159,"We need a better data system to track longitudinal changes over time, by individual, grade cohort, race or ethnicity, and gender."
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,N/A Not in a school.
174,Teachers not culturally defined 
175,The lack of resources and funds...
176,"We have had numerous changes in staff and this always causes unrest among the teacher, staff and students."
177,
178,One of the most challenging aspects of our school district magnitude of student diversity relative to educational investment.
179,space issues are a concern.
180,staff
181,
182,"This probably comes more from the district or state but all of the extra recording and paperwork for F&P, SLO, MAP, etc seems to be a repetitive process just for someone to prove we did something.  I am writing down a students' Independent, Instructional, and Hard level on 4 different papers/charts/spreadsheets.  Not sure who will be looking at all of these papers except me, and I already know their levels.  Seems one data recording should be efficient that will follow the student through elementary grades.  "
183,class size
184,
185,
186,It would be great to have small class sizes.
187,Class sizes
188,N/A
189,
190,
191,Not enough space.
192,
193,
194,
195,
196,
197,
198,
199,"I am sure that it is not just this school, but perhaps teachers everywhere are held solely responsible for the education of children.  "
200,
201,Too many students in each class.
202,The fact that we don't have one to one technology for all students. The fact that we have so many non-speaking English students who don't have enough support. 
203,"Too many kids in a classroom.  To meet the needs of our children better, hire more teachers and have 20-21 students in a classroom.  Don't just build new schools and have the classroom sizes remain the same.  "
204,Noise in cafeteria during lunch
205,"Nothing

"
206,Traffic in the morning!
207,I love everything about our ILES .I can't think of anything at this time.
208,
209,
210,
211,"That we don't have more assemblies where the entire student body comes together in the gym.  I feel like this would promote an additional sense of family.  Although it would surely be chaotic, it gives the students to sit as a group and learn that when we come together we are all 1."
212,
213,
214,I would like to see the class sizes be smaller than they are.
215,nothing
216,
217,
218,
219,n\a
220,Start time
221,I don't like riding the bus everyday.
222,Nothing
223,
224,Amount of homework from some classes.
225,"Lack of communication,  and gossip"
226,"Building more schools instead of when schools that have been build lately, should have been more built with more floors. Open next level as student body grew.  "
227,N/A
228,Not enough hours to cover all materials.
229,
230,I don't like the fact that we don't have a usual after school program for kids whose parents work or don't have anywhere for them to go after school. 
231,
232,Nothing really
233,Lack of athletic recognition
234,School athletics don't get recognized enough for their accomplishments on the field of play. 
235,Not enough inservices that are relevant to what I need training on.
236,Crowded Halls do to the closure of breezeways between halls.
237,
238,I have no major complaints.
239,
240,There's not much school pride from the students
241,N/A
242,
243,Lack of collaboration.
244,Lack of facilities.
245,The bar is set too low for many students. 
246,The class sizes make it extremely difficult to reach each child as needed for reading/math groups. Most schools in XXXX county have much smaller class sizes. I feel that even though YYYYY is a bigger community that class sizes should be equal with what other XXXX Elementary schools have. This hurts the children not the teachers.
247,Morning car line
248,Some administrators  do not poses the high level of dedication to student learning that our teachers poses.  Some administrators are not consistent in the support they provide teachers and staff.   Some administrators can be found to not be engaged in work related task while teachers are teaching during and after school.  Some administrators give very little interest to educating themselves on the best practices that should take place in our classrooms.  Some administrators do not appear to make some decisions based upon what is best to insure student needs and success.  
249,
250,
251,no comment
252,The thing I like least about our school is the location of one of our playgrounds.  You have to cross the bus parking lot to get there. Many cars drive through the bus lot on a daily basis.  I believe it is a safety risk.  
253,Nothing to state
254,
255, 
256,
257,
258,Teachers having to pay for classroom supplies such as chart paper
259,
260,
261,
262,N/AI can't think of anything at this time.
263,
264,
265,
266,over sized classes
267,"More safety features need to be in place to help keep the students safe.

Class sizes need to be smaller to allow teachers to teach more effectively. Also placing kids in classes based on their academic ability so that all kids in a class are at the same level (whether that is at grade level, behind or ahead) would greatly benefit the students and make it easier for the teachers to teach effectively."
268,Our school is overcrowded.
269,"* Safety- to many entry points and open campus.  The safety entrance has never been installed in the front office, this should be a priority.  There are students who have assaulted faculty members walking the hall.   "
270,
271,The traffic is terrible with the middle and elementary schools.  
272,There is limited engagement by some faculty members related to collaboration and extra-curricular functions.  
273,"lack of technology -- computers, calculators, books, etc."
274,
275,The lack of time / funds to do collaborative work  with faculty and staff. Lack of time and funds to do fun stuff together. Team building activities
276,
277,Student population to large for the facility.
278,"There are not as many AP classes offered as schools in Charlotte.  

Some classes are to big more than 30 students and is difficult for the students and teachers. "
279,
280,There is nothing I dislike
281,Lack of technology training
282,staff members that bully others on staff and their students
283,
284,it is too small for the student population; some people don't do their job like they're supposed to
285,
286,
287,Need more school spirit.
288,The boring self centered staff (teachers only)
289,There is no time to tutor the students who take the bus to and from school.
290,Lack of parent involvement
291,
292,
293,N/A
294,I like the overcrowding in our building the least.  The overcrowding in the halls and classrooms is taxing on students and teachers.  Teacher morale is dropping as a result of the lack of planning space because they have to leave their classrooms for other classes to use them.
295,More consistant  enforcement of the rules.
296,Students not utilizing the resources that are available to them.
297,
298,cafeteria - location and food
299,
300,entry/exit from the grounds is complicated by too much traffic. Sometimes doors are left open
301,Overcrowded
302,Amount of formal testing being covered by faculty.
303,"When we place work orders that are to be completed by district employees, often it takes months or even a year for the district to respond to the work order. (non-technology)"
304,
305,"The stress and the fact that admin does not listen to you and make you feel safe and welcomed at the school. I feel I brought a lot to the school, but am not looked at as a valid member of the school. moral is very low and everyone already is burnt out one grading period into the school year."
306,Some safety issues need to be looked at. There is no place to put students when a discipline issue arises. The HR department needs to be looked at for effectiveness.
307,"The rate of growth has caused overcrowding and at times, shortage of supplies. Teachers have to share classrooms, and hallways are difficult to navigate during class changes. "
308,nothing
309,too small-need more space
310,
311,I dislike strongly the fact that there was not adequate planning for the explosive growth in our student population.  I dislike the lack of enough technology to meet the needs of all students.  I dislike that our campus is wide open for a threat to our security.  Our office is not behind protective glass like other schools in the district.  Our doors are not all secure from outside entry.  
312,"traffic, rules concerning cell phones in the hallways during class--too much access"
313,"Overpopulation, limited computer access for students"
314,"One reason I scored disagree on Questions, 16-19 and 21 is because it says all teachers.99% of our teachers do an excellent job, but there are some who buck the system, e.g. not entering grades in power school in a timely manner, not communicating with parents about problematic students, not teaching bell to bell and just generally having a bad attitude.  I think these teachers need to be dealt with more severely.  "
315,N/A
316,Nothing
317,Resources aren't always available.
318,"I dislike the interruptions from class time such as pep rallies, a myriad of field trips, and other things that pull students from class."
319,The size and layout of the building but that is being addressed in the near future with the building of a new high school.  I would also like to see us be able to offer more programs in the future for our Career and Technology classes that align with our countries employment needs.  I also don't like that we don't have an alternative program for our students that just don't fit the traditional high school mold. 
320,?
321,"There are several physical areas that are inadequate and have been inadequate for a considerable amount of time. The school cafeteria, the school library media center , and school parking do ot meet the needs of the school or community the school represents and serves."
322,"Our school could use some updating.  People view our school as ""OLD"" and AR TTTTT as ""NEW"".  "
323,
324,
325,
326,"The only thing I really have a problem with is student accountability in the area of grades.  I know this is a district policy, but it is the only negative thing I have to say. Now that students know they aren't going to fail no matter what, it is a complete disservice to them.  This is not a true reflection of how the real world is going to treat them when they grow up.  I think we are setting them up for failure."
327,"not holding students accountable for their actions, re-testing policy"
328,"When problems occur that need district assistance, such as tech problems, it takes weeks for help to arrive.  "
329,"We do not have a homework center or a time built in for students to retest or make up work. Our population of students desperately need this time. When we started the Read To Succeed procedures this year, this time was taken away from our students. "
330,The micro-management  and inconsistency by school leadership. 
331,Not enough special education teacher to effectively support general education students with special needs 
332,the pay would prefer to a little more in June and start later in August
333,nothing
334,
335,Would love more time for planning and teaching. 
336,
337,
338,N/A
339,
340,
341,Frequently professional development takes place of in-service days that could be used to give time to write feedback to improve students' work on a personal level.
342,Consequences of students and staff who break/bend the rules
343,Security
344,The lack of safety of our entrance. 
345,Size of building
346,the route to drop off kids bogs traffic down if there is an emergency someone might die waiting for an ambulance or firetruck 
347,I don't like the fact that the drama class has to practice in the common area
348,N/A
349,
350,Discipliner action 
351,We are about 30 years behind in technology to help students learn and prepare them for jobs anywhere else besides XXXX county.
352,
353,
354,
355,The student:teacher ratio. Our population is growing but our teachers and resources are not. We have too many students (many with special needs) in classes for teachers to be able to give students and their work the attention that they need. 
356,Our population growth.  We are growing faster than we are able to keep up.
357,"The school is not secure.

The school is not well-maintained (stained, missing celing tiles from leaks, mold and mildew)"
358,
359,"I dislike the fact that our school is overcrowded.  It does not have adequate computer resources for students.  Our school has not been outfitted with proper safety features like other schools in the district, or our district office."
360,The environment is too relaxed in the understanding of the safety needs of the school by the general staff.  Many staff members don't see the need for safety rules.
361,The number of teachers who go the extra mile is much more than the ones who do the bare minimum when it comes to our students.
362,I haven't found anything as of yet.
363,
364,I wish our student discipline and accountability was held to a higher standard by administration. 
365,N/A
366,
367,
368,
369,"Wifi issues at our school make teaching with and through technology nearly impossible, even though we are required to do so.  This is a district issue and should have been rectified during the summer months."
370,
371,All of the time in meetings and the paperwork that takes up most planning periods.
372,Need more costar with discipline.
373,Mustangs Mentors.
374,
375,
376,"Administration does not always hold students accountable for their learning and discipline, only teachers.  Rules and routines for students are not consistent and often repealed to accommodate those students who break the rules.  In several aspects of the school culture School leaders rule out of fear and intimidation rather than support and respect.   Teachers are often reprimanded or scolded over the school intercom for the entire student body to hear.  School leaders express to teachers about creating relationships and being positive with students, yet the school leaders yell and scream at students when students do not behave in a manner they deem acceptable.  



The school building is not safe especially after hours.  The front office has a glass shield and visitors are routed through the office before entering the building.  However, visitors could enter any student hallway without first going to the office.  Main doors to buildings are unlocked to allow for transitioning throughout the building.  Obviously this is the make-up of the building and little can be done to fix it besides constructing a new building but I do not feel this is safe for our students and staff."
377,Nothing
378,
379,pay
380,The schedule is so tight with the reading for 30 minutes a day
381,The internet access in our area is spotty in my area.
382,technology---internet problems
383,Nothing
384,Lack of parent involvement- even though the school gives parents MULTIPLE opportunities to be involved in their child's education. 
385,"We have too many meetings at time, and therefore, it is hard to plan when we have so much time devoted to meetings."
386,"I believe the school lunches that are provided in this district are horrendous. Yes they meet the calorie and nutrient guidelines but this is not helping students when they want eat what is provided. I personally as an educator would not eat it either and will not allow my children to eat it. There are studies that show fresh, non processed foods will cut down on discipline issues, and weight issues. I believe there needs to be some research done on this matter to better serve our students."
387,Not enough responsibility placed on the students themselves for their education.
388,not consistent 
389,
390,"The fact that sixth graders cannot participate in school sports; however, I understand the rationale behind the fact that sixth graders can not participate in school sports."
391,"With the Read to Succeed requirements, we no longer have time during the school day to allow students to retest or make up missed work. We are having to be creative and use time before and after the regular school day."
392,They way administration sometimes leaves teachers in the dark or without proper support.
393,Not enough safety features.  Doors at the end of all halls are unlocked all day for easy access from intruders.
394,Hurdles that poverty places on our students. 
395,"It is difficult to get around the school building, and there is a sense of lost security when taking students outside to travel to lunch.  Building security is almost impossible to maintain."
396,culture of fear
397,"The emphasis students are required to place on standardized test scores.  Between MAP (twice) 4 benchmarks four times a year, EOC, PASS, SC READY, our students spend far too much time testing.  Testing is not learning."
398,
399,Discipline procedures.
400,nothing really
401,
402,The Media Center is still the same size since the school was build?
403,Too many unlocked doors
404,
405,"Sometimes students aren't discipline as needed, which makes teaching and learning difficult."
406,"Sometimes I think there is a lack of instructional time due to schedule changes, events, etc."
407,Time constraints....not enough time during the school day to implement a time for retesting and makeup work. It us difficult to get parents to attend meetings and conferences. Some of this is because of transportation and lack of child care.
408,
409,
410,
411,
412,"I am tired of hearing about how ""other schools are better"" than us.  We work hard.  Very hard."
413,Sometimes the pace of change is overwhelming.
414,We are not paid enough money
415,
416,
417,
418,
419,
420,"I feel that discipline is a problem at our school.  We as teachers can only take recess time or call a parent as a consequence.  Our last resort is to send a student to the office.  Most times students are spoken with briefly by administrators and them sent right back to class.  We as teachers, feel this is not a perceived as a consequence to the student and it under minds our authority.  It is hard to give quality instruction to students when there are certain students who constantly interrupt your class and only receive a ""talking to"".  "
421,
422,Our facility needs will remain a concern until the renovations funded through the bond referendum have been completed.
423,
424,"Our teachers are not valued, especially by our administration. The teacher morale is at the lowest point I have ever seen it, and we aren't even out of the first six weeks grading period. Our administration continuously requires meeting after meeting, without considering how tired and overloaded our teachers are. Teachers are required to attend three meetings per week, often working past normal hours for no compensation. Classroom teachers are also required to go to recess every day, often resulting in no break at all throughout the day. It's no wonder the morale is low. "
425,Planning periods taken away for meetings. Lunch and recess duty everyday. Having every thing micromanaged.  Behavioral problems being rewarded. 
426,
427,"This is my first year at KES and it is so much better than the school I left, I have no complaints."
428,
429,
430,There is no consistency across grade levels
431,
432,
433,
434,
435,
436,"Some negative attitudes of the teachers who tend to act a bit ""spoiled"" when work or assignments change within our work day. They moan about it rather than just doing their job. Attitude trickles down to the students"
437,The lack of resources.
438,
439,Teacher morale is at an all time low.  We are constantly in meetings and have few breaks throughout the day.  Teachers are tired!  Teachers that have less classes throughout the day could assist classroom teachers more. 
440,"Often we don't teach to reach all learners, we tend to target those kids right in the average margins, we often assume students who need extra support or maybe are slow learners must be special ed. etc. "
441,"Meetings!  We have an abundance of meetings that we are required to attend.  We have SAT meetings every other Monday during our planning.  We have to stay after school every Tuesday until 3:30 for team planning.  While this time is nice to plan, there are many times that the time is taken up doing paper work and other clerical things.  We meet every Wednesday during planning for PLT.  We send home Thursday folders every Thursday and they have to be packed on Thursdays during planning.  We have to meet every Thursday afternoon for Faculty Meetings.  IEP meetings are also scheduled during planning times.  We have very little time to plan for instruction and get materials ready to engage students in their learning.  For the first time in years, I have to take much of my work home with me just so I don't fall behind.  "
442,"I feel that the district should support our school, as well as all elementary schools, by providing a science lab housed with materials and an instructor. Our school had a room available but no instructor or established program supported. This should be a program that runs in collaboration with the classroom teacher to support both the science standards and STEM requirements.  

We also need additional take home reading materials for our students to use.  Our supply is wearing thin."
443,There are too many meetings that interfere with instructional planning.
444,"Lack of discipline, 

lack of support for teachers with discipline issues,

 having to stay until 3:30 twice a week,

 being micromanaged, 

meetings during teacher planning time, 

teachers all have to go to recess with the kids, 

having to call the office to get someone (if you can find someone) to leave the room to go to the restroom because of no breaks during the day

students that are always in trouble are the ones that get the attention while the good kids are hardly even spoken to by principal, but the bad ones get hugs and prizes all the time.

teacher morale is VERY LOW because of all these problems and many are wanting to leave because the stress so bad. We get more and more training and no time to implement or plan for anything we learn and if we are told one more day we have to stay late to do our planning.....

We've already been told not to make appointments on Tuesday or Thursday, then Wednesday was added. When are we supposed to see the dentist or get a hair cut/??????"
445,"I realize that we need to have meetings and analyze data but, we loose lots of valuable planning time when we have multiple meetings."
446,"The lack of technology, master teachers, and the unhappy climate due to low-teacher morale.  I feel that some important items are ignored that need to be addressed."
447,
448,Lack of parental/community involvement.  
449,
450,
451,Unwritten agendas?
452,
453,"Security, there are doors that have one assess all day"
454,
455,n/a
456,
457,
458,Students have to be removed from regular ed. to receive student services.
459,
460,"It seems that we are constantly changing the way things are taught.  I don't have a problem with necessary change, but sometimes it seems as though we are trying to reinvent the wheel."
461,I am not in favor of departmentalization in the upper grades. 
462,"We have not space, we need more classroom space and storage space. They building is old and needs pluming upgrades. "
463,"Lack of space, we are over-crowded. "
464,
465,
466,
467,nothing
468,
469,
470,Not enough office help.
471,"Rapid growth and development has become a way of life in the Indian Land community.  We have been fortunate to be able to manage our growing pains with an immense amount of district support, however the constant influx of students provides daily management challenges.  I am proud of our teacher's willingness to be flexible and to create classroom communities that help our students be successful, even in less than ideal circumstances.  "
472,n/a
473,
474,
475,I would like to see our school celebrate diversity more. 
476,
477,I do not like the way we assess the F & P testing. There should be an opportunity where we can finish testing in a week in order to best help and develop small groups so we are not wasting 6 weeks of instruction. 
478,I dislike our dilapidated building that is so humid that our desks and papers are wet each morning. It smells of mold and mildew which is unhealthy for students and staff.
479,"The same thing. A lot of times their clicks have already formed, and they bring us the baggage."
480,Nothing
481,"Time to plan, and reflect on lessons as well as provided information (data) that can enhance student learning, as well as ""face to face"" time with them."
482,Our building is old and in need of some much needed cosmetic repairs.
483,N/A.  I am proud to say I am a part of BMS.
484,
485,It is in desperate need of renovation 
486,
487,
488,
489,Having to split a class due to scheduling: lunch and exploratory .  It means having the class before lunch and again after exploratory.
490,Not enough parent involvement.
491,"partiality, the select few who are allowed to do , while other's are not"
492,
493,*The classes are too big to be effective 
494,
495,The building.... its old and constantly needs repair.
496,Nor enough money for needs of our community.
497,
498,Facility needs to be maintained in a more efficient way.  
499,
500,"Having ""MEGA"" parties for only those that sell items in fundraiser"
501,I don't mind change but sometimes we change things that are working and then it doesn't make much sense why we changed.
502,The building is too small!  We need more rooms/ offices for itinerant staff.
503,Space or lack of
504,We do not have enough rooms. 
505,"Not really sure how or if this affects student achievement outcomes, but this is a very old building.  It would be nice to have a newer facility.  "
506,
507,The physical building itself
508,Overcrowded. Lacking space for staff offices and common areas for meetings and events.  Minimal technology and very outdated electronic equipment such as TVs. Absentee IT staff. Lack of a morning news show. Too small library with scant number of computers and insufficient comfortable seating. Restroom facilities are inadequate-toilets and drains overflowing nearly daily. Teachers reluctant to work outside their grade levels and departments. 
509,
510,I wish our school had more funds to buy classroom books for our students. 
511,N/A
512,
513,
514,I can't say that I dislike anything.
515,na 
516,Parent involvement can be improved.
517,Class size
518,
519,
520,
521,Bathrooms and no teacher lounge
522,"I wish the building was more up to date and that we had more space to provide services, instruction, and activities. "
523,Old Plumbing and leaking floors.
524,
525,
526,
527,Some of my students are lacking in home support for their education that is difficult to compensate for in the school day.
528,
529,Over crowded. Every inch of the school is being utilized with no extra storage or adequate room space for anything other than basic classrooms. Also the kindergarten playground is not adequate for those students.
530,
531,I wish had more funds to buy more books and technique support.
532,My smartboard projector is not mounted in my classroom. 
533,
534,"not having qualified teachers in place - dance, chromebook "
535,N/A
536,"Sitting with the students at lunch, we all need a break. "
537,"We need more space to accommodate our class sizes, etc. more comfortably."
538,"The changes that come from the district and state level, that is sent to teachers late and incorrect."
539,
540,
541,I like all
542,Our small library and small rooms
543,Smart board projector is not mounted in my classroom
544,Inconsistency with consequences for misbehavior from students
545,Poor student behavior/lack of appropriate expectations on their behavior and lack of funding
546,
547,
548,
549,
550,That family members don't always support us when it comes to academics and volunteering to help the school.
551,I think the grounds should be cleaner.  The flowerbeds are messy and the entrance to the school could be more inviting and groomed.  If I were in charge I would fire the person that cuts the grass.
552,Communication from the top doesn't always trickle down the way it should.
553,
554,
555,"The fact that our class sizes are continually rising and now are at about 30 per class is a problem.  Couple that with the fact our Science and Social Studies classes only get half the time as Math and ELA, students and teachers are at a disadvantage when compared to other students in the district."
556,That not everyone goes by the same rules
557,I would like to see us use more data to drive  our instruction.  We give the assessments but don't use enough of the data it provides to help students.  
558,lack of space
559,"Employees do not receive training. Professional growth is not encouraged,"
560,
561,Handling movement of students in the halls.They do not know to walk on the right side of the hall and teachers are often not at their classroom doors because of other obligations.
562,Lack of resources
563,
564,Sometimes it can take a while for a necessary change to take place. It is eventually addressed but it is more reactive rather than proactive. 
565,Nothing
566,"The lack of communication between teams, administration, and guidance."
567,"Our school, in my own opinion, is too compartmentalized. I feel it would be beneficial to our students if our staff were to collaborate across grade levels and school related roles to a higher degree. Administration, support personnel, academic and related arts teachers don't communicate often enough in a purposeful, focused manner."
568,
569,Discipline is not strong enough.
570,How boisterous students are during change of classes. 
571,"I don't like being talked down to, which seems to be happening a lot lately. I feel like they don't have faith in me to do my job. Which is not fair to me, and my coworkers.  "
572,We do not have adequate space.
573,
574,"We need more space to keep class sizes smaller, and to have more content area teachers in some subject areas.

"
575,I don't really have anything I don't like.
576,the lack of communication and the attitude of most of the administration is not where it needs to be. the inconsistancy of rule enforcement. I really dislike the rotating schedule. 
577,N/a
578,There is little communication from one school to another.  Elementary -- Middle -- High.
579,We are slowly making improvements on school climate but I wish that we had more positive natural support for our school and practices. I think of it as school spirit. I am hopeful that with the middle school initiative of Paying it Forward some positive climate changes will take root and bring us back to a more considerate mentality. 
580,Teachers that  are not open to new ways of learning or teaching with the arts.
581,
582,
583,no comment
584,
585,
586,CERTAIN STUDENTS ARE ALLOWED TO DO THINGS AS OTHERS ARE NOT.
587,
588,
589,
590,
591,
592,Clarity in communication between departments
593,Clubs
594,"Clubs, I think clubs should get a little more time for the students to get the full effects of it."
595,"Communication from the administration is and has been poor. I learn of things that pertain to me from other teachers at other schools sometimes days or weeks before the administration tells me. Last year a district-wide change in our pacing guide was made and NEVER shared with me from administration. 



Leadership roles are not always given to the most qualified. Sometimes the least opinionated are chosen, for that reason."
596,"Favoritism among various students, lack of communication, student behavior in the hallways that disrupts my instructional time daily."
597,
598,Sometimes we forget to have fun and allow the kids to do some fun stuff in school. 
599,
600,Our building is dirty
601,
602,N/A
603,
604,"The SOS binder is, in my opinion, not an efficient way to keep students organized.  I also don't like that there is not enough time for students to go to their lockers between classes.  The students at this school always look like they are carrying 50 pounds of materials and the class they are going to may only require one text book and a binder."
605,The cleanliness of the overall building/mobile classrooms and lack of involvement in decision making (decisions that effect teachers and students)
606, 
607,School leadership community is very limited
608,"We do not collaborate with our encore team because of no common time to meet with them.  While we are close as a grade level, we are completely separated from all the others.  I realize part of this is due to our size, but we need to make more connections with other teachers."
609,
610,
611,
612,"We have issues with consistency and support of teachers with our administration, and communication from leadership to teachers.  Teachers do not feel they have a voice as suggestions are not implemented into the school."
613,Lack of restrooms for students and staff.
614,
615,
616,The lack of cleaning done in the classrooms. 
617,Nothing
618,Hard to come up with an answer to this one right this second.   Maybe broken AC in the front office area.  
619,It's so crowded!
620,Lack of communication.  Staff and students need to be held more accountable.  Delay in purchasing needed equipment and supplies.  Apparent favoritism of a few staff members. 
621,
622,
623,The lack of support from administration when it comes to discipline. 
624,too spread out
625,"As our enrollment continues to grow, we will need to diversify some of our offerings, specifically in the form of elective classes.  We have many options to consider such as dance, drama, home economics, etc.  As of now, the most challenging issue we face is space and I am glad our district is taking steps to improve that issue.  "
626,I feel the school doesn't offer enough Encore choices for the amount of students that is enrolled here.
627,
628,
629,
630,nothing at the momente
631,Sometimes pleasing and appeasing parents comes in the way of doing what is in the best interest of the student body.
632,N/A
633,
634,
635,wish teacher / student ratio was better (i.e. smaller classes)
636,The way the school is managed.
637,lack of communication
638,Floor plan and over crowding. And parking and not having access to other entrances than just the front of the school.
639,"The student-teacher ratio is too high.  I know, however, that this is something that cannot be adjusted at this time because of the community growth."
640,inconsistent teamwork...one teacher on the team could be extremely effective while the others on that same team may not produce the same results
641,How some classes are larger than others.
642,
643,Students not taking personal responsibility for their education
644,Need more diversity among the staff's population
645,"Hard one - I really do love everything about the teachers, staff, and students  "
646,
647,Lack of communication
648,
649,
650,It is growing so fast that the facilities are having to catch up to the growth.
651,
652,"The size, I wish we had a smaller middle school."
653,too much chatter on walkie-talkie
654,
655,Commute time from home to work.
656,
